time,symbol,strategy,direction,entry,sl_pts,tp_pts,atr,point,outcome,pnl_pts,pnl_usd,week
2026-07-10 16:30:00,ETHUSD,PIP_BLAST,BUY,1799.19,22.289621181390334,93.8871481209478,1.8543778021123407,0.01,LOSS,-22.3,-0.02,Jul 04–10 2026
2026-07-10 16:45:00,ETHUSD,PIP_BLAST,BUY,1801.33,19.25427126409827,81.10180982539896,1.6018528505905385,0.01,LOSS,-19.3,-0.02,Jul 04–10 2026
2026-07-10 17:45:00,ETHUSD,PIP_BLAST,SELL,1782.57,30.878091010508452,130.06304058752437,2.568892762937475,0.01,LOSS,-30.9,-0.03,Jul 04–10 2026
2026-07-10 18:00:00,ETHUSD,PIP_BLAST,SELL,1785.72,36.29878385529784,152.89579256187432,3.0198655453658767,0.01,LOSS,-36.3,-0.04,Jul 04–10 2026
2026-07-10 18:15:00,ETHUSD,PIP_BLAST,SELL,1791.57,38.30625068709383,161.3515367959701,3.1868760970959924,0.01,LOSS,-38.3,-0.04,Jul 04–10 2026
2026-07-10 18:30:00,ETHUSD,PIP_BLAST,SELL,1785.58,36.8746489552507,155.32142068255763,3.0677744555117052,0.01,LOSS,-36.9,-0.04,Jul 04–10 2026
2026-07-10 18:45:00,ETHUSD,PIP_BLAST,SELL,1788.74,34.07543559004696,143.53072412013955,2.8348948078242064,0.01,WIN,143.5,0.14,Jul 04–10 2026
2026-07-10 19:30:00,ETHUSD,PIP_BLAST,SELL,1787.89,31.60018607009141,133.10461070954474,2.628967227129069,0.01,LOSS,-31.6,-0.03,Jul 04–10 2026
2026-07-10 20:30:00,ETHUSD,PIP_BLAST,SELL,1786.9,19.513405996149345,82.1933232599868,1.6234114805448707,0.01,LOSS,-19.5,-0.02,Jul 04–10 2026
2026-07-10 21:45:00,ETHUSD,PIP_BLAST,SELL,1782.52,16.196513479102254,68.22208631006214,1.3474636837855452,0.01,LOSS,-16.2,-0.02,Jul 04–10 2026
