strategy,action,entry_time,entry_price,strike,option_type,premium,delta,theta,gamma,vega,confidence,reason,status,exit_time,exit_price,exit_reason,pnl
rsi_oversold,BUY,2026-04-03 09:22:00.000000,22688.53,22700,ce,18.05,0.5321,-0.4435,0.009,0.2125,0.7564952413962421,,CLOSED,2026-04-03 09:28:00.000000,22689.54,Time Exit,50.50000000010186
rsi_oversold,BUY,2026-04-03 09:23:00.000000,22700.26,22700,ce,18.05,0.5321,-0.4435,0.009,0.2125,0.7739020058063962,,CLOSED,2026-04-03 09:29:00.000000,22680.35,Time Exit,-995.4999999999927
rsi_oversold,BUY,2026-04-03 09:24:00.000000,22708.03,22700,ce,18.05,0.5321,-0.4435,0.009,0.2125,0.769413832559637,,CLOSED,2026-04-03 09:30:00.000000,22651.51,Time Exit,-2826.000000000022
rsi_oversold,BUY,2026-04-03 09:25:00.000000,22678.23,22700,ce,18.05,0.5321,-0.4435,0.009,0.2125,0.7749684053061903,,CLOSED,2026-04-03 09:31:00.000000,22655.41,Time Exit,-1140.9999999999854
rsi_oversold,BUY,2026-04-03 09:26:00.000000,22669.63,22650,ce,10.0,0.5085,-0.5558,0.0101,0.1945,0.7752842750503309,,CLOSED,2026-04-03 09:32:00.000000,22653.87,Time Exit,-788.0000000001019
rsi_oversold,BUY,2026-04-03 09:27:00.000000,22674.62,22650,ce,10.0,0.5085,-0.5558,0.0101,0.1945,0.7810461732536325,,CLOSED,2026-04-03 09:33:00.000000,22636.75,Time Exit,-1893.499999999949
rsi_oversold,BUY,2026-04-03 09:28:00.000000,22689.54,22700,ce,18.05,0.5321,-0.4435,0.009,0.2125,0.7634401245232036,,CLOSED,2026-04-03 09:34:00.000000,22619.84,Time Exit,-3485.0000000000364
rsi_oversold,BUY,2026-04-03 09:35:00.000000,22606.37,22600,ce,10.0,0.5529,-0.5208,0.0093,0.2046,0.01602816162979555,,CLOSED,2026-04-03 09:41:00.000000,22686.9,Time Exit,4026.5000000001237
rsi_oversold,BUY,2026-04-03 10:07:00.000000,22626.47,22650,ce,10.0,0.5085,-0.5558,0.0101,0.1945,0.17067521824328888,,CLOSED,2026-04-03 10:13:00.000000,22698.94,Time Exit,3623.4999999998763
rsi_oversold,BUY,2026-04-03 10:08:00.000000,22597.83,22600,ce,10.0,0.5529,-0.5208,0.0093,0.2046,0.37901334256157876,,CLOSED,2026-04-03 10:14:00.000000,22701.32,Time Exit,5174.499999999898
rsi_oversold,BUY,2026-04-06 09:15:00.000000,22928.02,22950,ce,5.0,0.4707,-0.5054,0.0093,0.2014,0.8303145325158766,,CLOSED,2026-04-06 09:21:00.000000,22963.28,Time Exit,1762.99999999992
rsi_oversold,BUY,2026-04-06 09:16:00.000000,22942.89,22950,ce,5.0,0.4707,-0.5054,0.0093,0.2014,0.8832590827308806,,CLOSED,2026-04-06 09:22:00.000000,22983.46,Time Exit,2028.4999999999854
rsi_oversold,BUY,2026-04-06 09:17:00.000000,22961.54,22950,ce,5.0,0.4707,-0.5054,0.0093,0.2014,0.8565285264056997,,CLOSED,2026-04-06 09:23:00.000000,23023.27,Time Exit,3086.499999999978
rsi_oversold,BUY,2026-04-06 09:18:00.000000,22973.01,22950,ce,5.0,0.4707,-0.5054,0.0093,0.2014,0.8710113602909109,,CLOSED,2026-04-06 09:24:00.000000,22998.96,Time Exit,1297.5000000000364
rsi_oversold,BUY,2026-04-06 09:19:00.000000,22944.07,22950,ce,5.0,0.4707,-0.5054,0.0093,0.2014,0.877811133933749,,CLOSED,2026-04-06 09:25:00.000000,22990.94,Time Exit,2343.499999999949
rsi_oversold,BUY,2026-04-06 09:20:00.000000,22973.95,22950,ce,5.0,0.4707,-0.5054,0.0093,0.2014,0.8346630275036768,,CLOSED,2026-04-06 09:26:00.000000,22996.71,Time Exit,1137.99999999992
rsi_oversold,BUY,2026-04-06 09:21:00.000000,22963.28,22950,ce,5.0,0.4707,-0.5054,0.0093,0.2014,0.8339738662567285,,CLOSED,2026-04-06 09:27:00.000000,22995.99,Time Exit,1635.5000000001382
rsi_oversold,BUY,2026-04-06 09:22:00.000000,22983.46,23000,ce,5.0,0.4732,-0.5163,0.0096,0.2091,0.8265763397134833,,CLOSED,2026-04-06 09:28:00.000000,23013.85,Time Exit,1519.499999999971
rsi_oversold,BUY,2026-04-06 09:23:00.000000,23023.27,23000,ce,5.0,0.4732,-0.5163,0.0096,0.2091,0.7700869388672605,,CLOSED,2026-04-06 09:29:00.000000,23036.66,Time Exit,669.4999999999709
rsi_oversold,BUY,2026-04-06 09:24:00.000000,22998.96,23000,ce,5.0,0.4732,-0.5163,0.0096,0.2091,0.7762414190437629,,CLOSED,2026-04-06 09:30:00.000000,23023.31,Time Exit,1217.5000000001091
rsi_oversold,BUY,2026-04-06 09:25:00.000000,22990.94,23000,ce,5.0,0.4732,-0.5163,0.0096,0.2091,0.7763224036652479,,CLOSED,2026-04-06 09:31:00.000000,23010.44,Time Exit,975.0
rsi_oversold,BUY,2026-04-06 09:26:00.000000,22996.71,23000,ce,5.0,0.4732,-0.5163,0.0096,0.2091,0.7919833251777969,,CLOSED,2026-04-06 09:32:00.000000,22995.06,Time Exit,-82.49999999989086
rsi_oversold,BUY,2026-04-06 09:27:00.000000,22995.99,23000,ce,5.0,0.4732,-0.5163,0.0096,0.2091,0.7905365728870507,,CLOSED,2026-04-06 09:33:00.000000,22981.47,Time Exit,-726.0000000000218
rsi_oversold,BUY,2026-04-06 09:28:00.000000,23013.85,23000,ce,5.0,0.4732,-0.5163,0.0096,0.2091,0.7710707630974591,,CLOSED,2026-04-06 09:34:00.000000,22981.74,Time Exit,-1605.4999999998472
rsi_oversold,BUY,2026-04-06 11:46:00.000000,23471.13,23450,ce,6.26,0.5093,-0.4908,0.0115,0.1963,0.044960128408686253,,CLOSED,2026-04-06 11:52:00.000000,23429.78,Time Exit,-2067.500000000109
rsi_oversold,BUY,2026-04-06 11:47:00.000000,23469.25,23450,ce,6.26,0.5093,-0.4908,0.0115,0.1963,0.08263161497910877,,CLOSED,2026-04-06 11:53:00.000000,23397.02,Time Exit,-3611.499999999978
